KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
0279406WLO;12;13;11;19;12;26;29;26;19;12;9;7
0279504OCH;7;5;8;9;12;15;19;14;10;8;5;10
0279603TAR;4;4;3;10;9;13;14;12;10;9;3;3
0279703BIA;7;3;5;9;9;11;15;12;8;8;4;7
0279804SRO;5;7;7;10;10;14;22;14;8;11;7;6
0279906WIL;9;14;10;16;18;21;30;23;16;14;14;8
0280004MOK;10;7;8;10;10;18;18;18;12;14;6;6
0280107ZOL;15;13;15;22;19;27;29;28;17;16;15;15
0280202SRO;4;2;3;4;5;6;9;6;4;4;4;2
0280302PRA;2;2;2;5;6;7;8;6;6;4;4;3
0280404WLO;5;10;6;8;11;17;20;18;14;13;9;5
0280506PRA;10;7;11;17;17;22;26;20;12;18;8;10
0280604WAW;9;5;5;10;12;18;17;13;10;9;8;4
0280702BEM;4;3;3;6;6;8;9;6;6;5;4;2
0280803ZOL;4;4;7;8;9;13;15;9;9;9;6;5
0280907BIA;9;15;10;17;22;21;29;26;17;19;7;11
0281004ZOL;7;8;4;10;12;18;18;18;9;12;10;6
0281102BIE;3;2;3;5;5;8;10;6;5;5;2;4
0281203BEM;4;6;7;8;6;13;14;11;7;10;6;7
0281304MOK;10;9;10;11;9;16;17;18;8;14;10;9
0281407URY;12;8;13;16;18;28;31;29;22;20;7;7
0281504BIE;8;8;8;11;10;18;20;15;9;12;10;4
0281605BIE;10;8;9;16;16;18;23;19;11;16;8;9
0281704BEM;8;7;9;8;11;14;19;14;10;12;5;5
0281803OCH;6;3;5;9;9;12;14;10;9;7;4;7
0281907WOL;7;9;10;17;15;23;30;21;16;16;12;12
0282003MOK;6;7;6;6;9;9;16;13;8;8;6;5
0282104SRO;5;7;6;8;14;17;22;15;11;13;4;10
0282203SRO;4;5;5;10;8;12;12;10;10;6;4;6
0282303PRA;4;6;5;10;9;11;12;13;6;6;6;5
0282404WAW;7;9;9;10;14;13;21;14;8;9;7;4
0282502BIE;4;4;2;6;4;8;10;6;6;4;3;4
0282601WES;2;2;2;3;3;3;5;3;2;2;2;1
0282704BEM;4;5;7;9;12;17;22;14;11;9;9;4
0282803WLO;7;4;5;10;9;12;12;12;7;7;5;7
0282903PRA;7;4;6;6;9;11;16;12;8;6;6;5
0283003OCH;5;7;7;8;7;11;16;10;10;9;7;7
0283103ZOL;3;7;5;7;6;9;13;11;8;7;5;3
0283201MOK;1;2;2;3;2;3;5;3;2;2;2;1
0283306BEM;8;13;8;20;17;20;30;19;15;19;12;11
0283402OCH;2;2;3;5;6;6;10;8;6;5;4;2
0283504URY;6;5;6;14;12;15;20;18;11;10;10;5
0283603MOK;7;7;6;6;9;13;15;9;7;8;5;5
0283703ZOL;6;6;7;8;7;9;13;9;9;10;7;4
0283803WAW;4;6;3;6;10;11;16;9;7;6;4;7
0283903WLO;4;4;3;8;7;10;14;13;9;6;7;6
0284004BIE;4;7;5;14;8;12;20;18;12;8;9;9
0284103WIL;4;5;4;6;10;11;13;10;6;8;5;4
0284204PRA;5;10;6;10;10;17;17;17;14;13;4;10
0284303OCH;4;6;5;9;9;11;16;9;8;9;5;5
0284403OCH;6;6;7;9;9;10;12;12;9;7;4;4
0284503TAR;5;5;5;6;7;9;13;11;7;7;7;5
0284606WLO;6;9;12;17;15;18;26;21;18;12;13;12
0284704MOK;6;7;4;13;12;16;22;16;13;14;7;9
0284804URU;9;4;10;10;8;17;17;17;12;9;4;7
0284903PRA;3;4;6;8;7;9;14;9;9;9;3;4
0285002PRA;2;2;2;6;4;7;10;7;4;4;4;2
0285104ZOL;7;9;8;9;11;17;17;14;8;10;7;5
0285204URY;4;7;4;10;8;13;18;16;12;8;7;8
0285304WOL;4;5;5;10;13;13;21;15;12;10;10;7
0285402MOK;4;2;2;4;4;7;9;7;4;5;2;4
0285504TAR;5;9;6;9;9;17;20;18;13;8;8;8
0285603WLO;7;3;6;10;7;9;16;11;6;10;6;7
0285701ZOL;2;2;1;3;2;4;5;3;2;2;2;1
0285803OCH;3;6;6;6;6;11;14;12;7;6;3;4
0285903REM;6;7;4;10;9;13;16;10;7;9;5;4
0286002BIA;3;3;4;6;6;7;8;6;5;6;4;4
0286102BEM;4;2;3;5;6;6;10;8;6;4;4;3
0286204SRO;10;4;6;13;8;18;17;16;12;14;7;8
0286304URY;9;6;9;10;8;15;22;15;11;8;9;6
0286404REM;9;7;4;11;9;12;20;12;8;11;8;5
0286505WLO;9;10;10;15;13;16;25;21;13;14;5;8
0286603ZOL;4;5;6;6;7;11;16;9;8;7;3;3
0286703WLO;4;3;5;10;8;9;12;13;7;6;5;4
0286803SRO;5;7;7;6;7;13;13;9;9;7;5;6
0286903WOL;7;5;4;10;10;11;13;11;6;8;5;6
0287005URU;8;12;5;12;16;21;21;16;12;14;8;5
0287103ZOL;6;4;6;9;9;9;12;10;6;6;5;7
0287203WAW;4;3;3;7;8;9;16;11;9;6;3;4
0287307WES;9;15;14;15;14;23;31;22;17;14;7;12
0287403OCH;7;7;4;9;6;13;15;12;6;7;3;7
0287507PRA;7;7;9;21;14;23;36;24;18;18;7;8
0287602BIA;2;4;2;6;4;7;8;6;6;5;2;2
0287704WES;10;6;9;10;13;13;16;14;14;11;4;5
0287801BIA;2;2;2;2;3;4;5;4;3;2;2;2
0287907PRA;11;10;12;15;14;24;32;24;16;18;12;10
0288002WOL;3;3;3;5;6;7;9;7;6;6;2;2
0288103OCH;4;7;5;7;10;9;15;12;7;6;5;4
0288204SRO;4;10;10;10;10;12;20;15;14;8;5;10
0288307WOL;12;10;10;20;21;25;32;24;16;15;13;15
0288404WOL;10;10;4;11;10;18;19;13;9;9;8;9
0288504MOK;7;7;7;14;8;13;22;13;9;10;9;10
0288604BIE;8;9;6;13;14;15;16;13;12;8;4;4
0288704TAR;8;4;4;12;12;15;20;15;13;13;9;5
0288802WAW;4;3;4;5;6;7;9;6;5;6;3;4
0288904WOL;6;8;7;12;14;18;16;17;9;14;4;10
0289002WOL;3;3;2;6;4;6;10;7;5;5;4;4
0289102TAR;2;3;2;6;5;6;9;7;6;6;4;2
0289207ZOL;15;9;13;16;18;21;36;22;20;15;12;13
0289303BIE;6;4;3;9;7;11;15;12;7;7;5;5
0289403BIA;4;4;7;6;6;12;16;13;10;10;3;7
0289503OCH;4;5;5;8;8;10;12;10;7;7;6;7
0289603WIL;6;3;5;9;9;12;14;9;6;8;5;4
0289705ZOL;10;10;7;10;10;21;26;21;12;10;7;6
0289804WAW;5;5;5;9;13;13;17;13;9;11;9;8
0289903SRO;7;4;4;8;10;12;14;13;10;6;3;3
0290003REM;7;5;5;9;7;13;14;11;8;7;4;7
0290103WIL;5;6;4;9;7;10;12;11;7;10;4;3
0290202WLO;3;3;3;6;4;6;9;6;6;6;3;2
0290302WAW;3;2;4;4;5;6;10;7;4;6;2;2
0290402SRO;2;2;2;5;5;7;10;7;4;4;2;4
0290503BIA;7;5;6;7;7;13;16;13;8;10;3;4
0290604BIA;8;9;10;12;13;17;19;12;12;8;8;6
0290701WAW;1;2;1;2;3;3;4;4;3;2;1;2
0290805MOK;7;5;9;16;12;19;25;16;12;13;11;12
0290901BEM;2;1;2;2;3;4;4;3;3;3;2;1
0291003REM;5;4;6;8;7;10;15;11;9;6;7;7
0291102URY;3;2;3;4;5;7;8;6;5;6;2;2
0291204REM;4;7;10;10;10;12;19;16;14;13;9;4
0291303WLO;5;5;5;7;10;13;16;10;9;9;5;4
0291402URY;3;4;2;5;6;6;9;7;4;5;2;3
0291501BIA;1;2;1;3;3;3;4;3;2;3;1;1
0291602URY;3;4;2;6;4;6;10;7;4;6;4;3
0291705WAW;7;12;11;16;14;15;25;19;11;10;12;9
0291803MOK;3;3;3;9;6;13;15;10;7;8;3;4
0291901WOL;1;2;1;2;2;4;4;4;2;3;1;1
0292004URY;4;8;5;12;9;17;20;18;13;8;9;5
0292102BIA;2;4;3;6;4;6;9;7;4;5;4;2
0292203WOL;7;3;4;7;9;11;16;10;7;6;7;7
0292302BIE;3;3;3;5;5;6;9;7;5;4;3;4
0292404REM;10;5;7;14;10;17;16;18;14;8;9;4
0292505WOL;11;8;11;12;13;22;23;19;17;16;9;11
0292606URU;9;14;10;13;18;23;29;20;18;15;10;8
0292704BEM;5;10;7;8;13;14;16;13;10;12;9;8
0292805WOL;12;6;12;16;16;15;20;22;17;11;12;6
0292901ZOL;1;2;1;3;3;3;5;4;2;2;1;2
0293005WES;8;6;7;13;16;19;21;17;11;17;5;9
0293104WAW;7;4;4;11;12;16;18;12;8;11;6;4
0293207WAW;15;7;7;20;19;22;29;27;14;14;9;10
0293304WOL;4;10;9;9;10;12;17;18;11;8;8;9
0293403MOK;6;7;7;7;7;9;15;11;8;10;7;3
0293502BEM;4;2;4;6;6;8;9;7;6;5;3;2
0293605WLO;10;11;8;16;17;22;23;16;17;11;9;12
0293704WOL;9;9;7;11;11;17;22;16;14;10;10;8
0293804BEM;9;8;9;11;12;18;19;14;14;13;5;5
0293903PRA;7;4;5;6;10;13;15;9;8;10;6;5
0294004WLO;9;8;8;9;8;13;17;14;14;14;7;7
0294104TAR;5;4;7;8;12;13;16;15;12;11;4;7
0294204OCH;6;5;7;11;10;12;19;12;9;10;4;5
0294303MOK;5;6;6;8;7;9;14;13;8;6;6;3
0294403BIA;7;4;6;7;9;11;13;12;7;9;6;4
0294503BEM;7;6;6;10;7;9;16;12;6;9;7;7
0294604WOL;4;7;10;9;13;12;22;16;13;12;8;4
0294706URU;6;9;14;18;17;18;31;19;14;12;10;14
0294804TAR;5;9;6;10;10;12;18;14;11;11;6;10
0294907URU;11;8;15;14;20;24;28;28;17;19;8;7
0295005ZOL;9;12;11;17;11;18;20;17;17;10;9;8
0295103WES;4;3;4;8;7;11;13;13;9;6;6;5
0295202WES;3;2;3;5;6;8;10;8;5;5;4;2
0295304OCH;7;4;8;10;8;15;22;17;9;8;10;8
0295402BEM;4;2;4;5;6;7;9;6;4;4;4;4
0295506WLO;14;9;8;20;20;18;26;25;20;15;10;13
0295603BEM;3;7;6;7;7;12;16;11;10;9;5;5
0295705URU;9;9;10;11;13;18;27;19;17;11;7;12
0295803BIE;6;5;6;6;8;13;13;11;9;10;7;6
0295903TAR;5;6;7;7;9;13;16;13;9;8;3;6
0296002WLO;3;3;3;4;6;7;8;6;5;5;3;3
0296105WES;8;5;5;17;12;20;27;16;16;13;5;10
0296204WIL;4;6;9;13;14;12;17;13;10;10;8;4
0296303TAR;5;7;5;9;10;13;16;9;7;8;5;6
0296403WLO;5;3;6;10;9;11;16;13;10;7;3;3
0296507ZOL;7;9;7;22;14;24;32;24;14;16;13;8
0296601URY;1;2;1;3;3;3;4;4;3;2;1;2
0296704WOL;7;5;8;9;9;17;17;16;13;12;4;6
0296801URY;2;2;2;3;3;3;5;3;3;2;1;1
0296904URU;6;6;7;12;13;13;19;13;9;13;6;9
0297003BEM;5;7;6;8;8;11;12;13;8;10;3;7
0297102BIA;2;3;4;6;5;7;9;8;4;4;4;3
0297206PRA;6;10;12;17;16;23;24;20;13;20;13;9
0297302WES;4;4;4;5;5;6;9;7;5;4;3;4
0297401OCH;1;1;2;2;2;4;4;3;2;3;1;1
0297504URU;8;5;9;9;10;13;19;14;9;8;6;4
0297603WOL;5;3;6;7;8;11;16;13;6;6;4;3
0297702BEM;3;4;3;6;5;8;9;6;5;6;2;4
0297803TAR;3;4;3;8;10;11;14;10;9;10;3;6
0297904WAW;9;4;8;9;13;12;19;16;8;12;7;10
0298003URU;4;7;3;8;9;10;16;10;9;7;4;4
0298103URY;7;4;5;8;6;12;15;11;8;8;3;6
0298204WOL;9;5;9;11;13;17;17;14;8;11;5;10
0298301PRA;2;1;2;3;3;3;4;3;2;3;2;2
0298402SRO;3;3;3;5;4;8;9;7;6;5;2;3
0298504TAR;7;9;4;12;14;18;20;12;8;11;4;6
0298603URU;6;3;7;9;7;9;12;11;6;9;4;4
0298704MOK;5;6;6;8;8;14;18;12;12;13;7;4
0298804URY;4;5;7;13;12;16;18;12;9;8;9;10
0298902WAW;2;2;2;5;4;8;10;8;5;4;2;3
0299003WES;4;6;3;6;9;9;12;10;9;6;4;6
0299104ZOL;5;7;8;9;14;13;22;15;11;12;9;6
0299206URU;6;7;8;12;18;26;24;23;15;20;8;12
0299305MOK;6;8;12;12;17;15;26;20;12;11;9;8
0299404WOL;10;4;8;9;9;15;19;15;14;13;4;10
0299503OCH;3;4;5;7;9;13;13;10;7;6;3;5
0299606WES;13;9;12;18;17;26;24;21;20;12;9;14
0299701WLO;1;2;1;2;2;3;5;4;3;3;2;2
0299802URY;3;4;3;6;4;6;9;7;6;5;4;3
0299906REM;13;12;11;19;13;23;27;20;18;19;6;14
0300003TAR;4;3;7;6;6;10;12;9;7;7;6;7
0300103PRA;4;3;6;8;6;9;13;9;6;7;5;6
0300202BIE;4;4;3;4;6;8;8;6;4;4;3;4
0300303MOK;6;3;3;10;8;12;13;10;9;6;6;6
0300404REM;6;7;8;10;13;14;20;18;9;12;10;7
0300504URU;5;10;9;10;13;12;19;12;11;10;5;9
0300603WOL;5;7;6;7;10;13;16;11;10;9;6;3
0300702ZOL;4;2;2;6;6;8;9;7;4;4;3;2
0300804WES;6;7;4;10;10;12;17;14;9;11;8;4
0300904WOL;10;10;4;9;14;13;18;18;8;14;10;8
0301001BIA;2;2;1;3;2;3;4;3;3;3;2;2
0301104OCH;4;5;5;13;8;17;20;12;9;9;6;6
0301203PRA;4;6;4;7;7;11;13;9;9;7;4;5
0301306WAW;12;7;9;12;16;19;30;26;19;12;6;8
0301406REM;9;13;14;19;15;24;24;22;19;15;14;13
0301504BIA;10;6;5;8;12;14;16;16;9;12;10;10
0301602TAR;2;3;4;6;4;6;9;7;4;4;2;3
0301703WIL;6;3;4;6;9;13;14;10;10;6;6;5
0301803BIA;3;7;7;6;8;9;14;13;6;10;3;5
0301904URY;5;4;7;11;9;13;17;12;10;12;6;4
0302003TAR;3;6;6;10;8;10;16;11;10;8;7;3
0302103BEM;3;4;3;9;8;10;14;10;8;9;6;5
0302203BIE;5;6;3;10;6;10;16;13;7;8;4;4
0302304URY;5;5;4;8;14;18;21;18;11;14;6;5
0302404MOK;9;8;7;8;13;13;21;17;9;8;7;4
0302503WIL;4;3;6;8;9;11;15;11;7;6;3;7
0302601BIE;2;1;1;2;3;3;4;3;3;3;1;2
0302705BIA;6;5;11;13;14;15;20;17;12;14;12;8
0302802WOL;3;4;4;6;5;6;9;6;4;4;3;3
0302903URY;4;4;6;7;10;12;13;12;8;7;6;5
0303003BIE;5;7;6;6;6;11;12;10;10;9;7;4
0303103URY;6;7;4;10;9;13;13;13;9;7;4;5
0303204URY;10;4;8;14;9;17;21;17;9;8;10;10
0303304OCH;6;6;5;9;12;13;16;16;8;11;4;6
0303404WIL;6;8;10;13;9;14;22;18;12;10;4;10
0303503BIE;4;7;6;8;6;9;16;10;8;7;6;5
0303604REM;8;5;5;14;14;12;18;14;14;12;10;5
0303703URU;5;7;6;9;6;10;13;13;8;9;7;5
0303801SRO;2;1;2;2;2;3;4;3;2;2;1;1
0303903URU;3;4;7;8;9;11;15;13;6;9;6;7
0304001MOK;2;2;1;2;2;3;4;4;2;2;2;1
0304106BEM;14;13;6;19;18;23;29;19;18;18;10;9
0304204BIA;8;8;9;13;11;18;21;17;14;11;8;8
0304302URY;3;4;3;5;4;7;10;6;6;4;3;3
0304404REM;6;10;8;9;8;17;16;17;12;10;7;10
0304505BIA;5;5;12;17;14;19;20;16;16;14;11;9
0304601WIL;2;1;1;3;2;3;5;4;3;2;1;2
0304705MOK;6;7;7;16;16;15;20;15;16;10;9;7
0304802WAW;3;2;2;4;6;7;10;6;6;6;4;2
0304904URY;10;9;5;8;14;17;18;14;12;13;8;6
0305006PRA;9;13;7;15;18;26;31;18;18;20;7;6
0305104ZOL;8;4;4;11;12;18;19;15;8;14;7;9
0305207PRA;11;13;13;18;16;24;31;28;19;15;7;8
0305305WAW;5;5;11;10;13;16;20;17;11;15;6;7
0305404SRO;7;7;6;10;13;13;19;12;10;8;5;10
0305503WIL;7;7;6;8;6;10;15;10;8;10;4;5
0305605WOL;9;12;5;17;16;19;20;19;16;12;6;5
0305704WIL;8;5;6;12;8;14;18;17;11;14;9;4
0305804ZOL;6;4;5;8;14;12;17;16;14;8;9;6
0305904WLO;6;9;10;14;11;13;16;14;8;12;4;8
0306005BIA;11;8;6;10;17;16;22;15;12;12;7;11
0306102ZOL;2;4;4;6;4;7;8;8;6;6;2;4
0306202WOL;2;4;2;5;6;8;10;7;6;5;2;2
0306303BEM;6;6;4;9;8;12;12;9;10;10;3;3
0306402WLO;3;2;2;4;5;8;9;8;4;6;2;2
0306503REM;7;6;5;10;10;13;16;12;9;9;5;3
0306602MOK;4;4;4;6;6;8;8;8;6;5;3;3
0306702MOK;3;4;3;6;4;6;10;8;5;4;4;2
0306804WIL;4;8;5;11;12;17;16;14;14;11;5;4
0306903WES;5;5;7;7;6;10;12;9;8;6;5;6
0307006WOL;10;7;8;14;18;21;30;19;12;14;8;8
0307101BEM;2;1;2;3;2;4;4;3;2;3;1;2
0307201WLO;2;2;1;3;3;3;4;3;3;3;1;1
0307301PRA;2;2;2;2;3;4;5;4;3;2;1;1
0307405TAR;8;9;10;16;12;15;21;22;12;15;12;8
0307505WLO;8;5;6;10;12;17;23;17;11;16;11;11
0307605ZOL;5;8;5;15;12;21;24;21;15;10;12;5
0307704WES;7;9;5;10;9;17;18;17;9;12;5;9
0307803WES;4;5;5;9;8;9;15;9;7;7;7;3
0307902ZOL;4;3;4;5;4;6;9;8;4;5;2;2
0308003ZOL;7;4;7;7;6;11;14;11;8;10;5;7
0308104URU;9;7;6;13;8;17;21;12;11;12;8;8
0308202REM;2;4;2;4;6;6;9;7;6;4;2;4
0308302WAW;2;3;2;4;6;6;9;8;4;4;2;4
0308404BIA;10;6;7;9;12;14;20;18;13;10;9;10
0308502BEM;4;4;2;4;4;8;9;6;6;4;3;3
0308602WIL;2;3;4;6;5;7;8;6;6;6;4;3
0308702PRA;3;2;2;4;5;7;9;7;5;4;4;2
0308803BIA;6;6;7;6;7;10;16;13;7;9;4;6
0308903WIL;3;6;5;10;10;13;15;10;8;8;6;7
0309001PRA;1;1;2;2;2;4;5;4;2;3;1;2
0309101URY;2;2;1;3;2;4;5;3;2;2;1;2
0309201OCH;2;2;2;2;3;4;4;3;3;3;2;2
0309301MOK;1;2;2;3;2;3;4;4;3;3;2;1
0309407BIA;8;14;13;18;19;25;32;25;16;17;15;8
0309503URY;3;7;7;9;6;13;16;10;9;9;5;3
0309607URU;8;9;7;21;16;28;31;22;14;14;13;14
0309705WIL;7;7;10;11;12;19;27;15;15;12;10;7
0309802WES;3;3;4;6;5;7;10;6;4;4;2;3
0309902PRA;4;3;4;5;6;7;9;7;5;5;4;2
0310004WES;9;9;5;11;12;17;19;18;10;11;9;8
0310103BEM;3;5;5;8;6;10;15;13;10;6;6;3
0310203WAW;3;7;6;10;7;9;12;10;7;6;5;7
0310305SRO;6;9;5;16;15;17;23;15;10;13;11;6
0310403REM;3;7;6;10;6;10;16;9;10;6;7;4
0310503WAW;6;3;7;8;6;11;12;10;8;9;7;6
0310604URY;7;4;9;13;11;12;16;15;8;14;9;8
0310704URY;6;9;7;11;9;14;16;14;9;8;8;9
0310803WES;3;3;5;10;10;11;12;12;6;9;7;3
0310903URU;7;3;6;9;8;13;16;9;10;7;4;6
0311007PRA;10;11;13;21;19;27;33;28;20;18;13;14
0311103WIL;3;6;3;10;8;11;13;10;10;9;7;3
0311204WAW;6;8;5;11;10;18;20;13;10;12;8;8
0311306WOL;11;12;11;14;18;23;27;22;16;12;8;14
0311401ZOL;1;2;2;3;2;3;5;4;2;2;1;2
0311504WOL;6;10;9;9;11;17;17;16;11;11;4;6
0311602BEM;4;3;2;5;5;7;9;7;5;5;4;3
0311704BIA;7;10;4;10;14;14;22;14;13;11;5;9
0311805WLO;7;6;6;14;12;18;27;16;10;10;5;12
0311901PRA;2;2;2;2;2;3;5;3;2;3;1;1
0312002WES;4;2;3;5;4;8;9;6;4;5;2;4
0312104OCH;9;5;10;8;12;15;20;16;14;11;10;7
0312204WAW;8;6;7;13;9;13;21;16;12;9;4;4
0312302URY;2;4;3;6;4;7;10;7;6;5;4;4
0312401URU;1;1;1;3;2;3;4;3;2;2;2;1
0312502BIE;3;4;3;5;6;6;9;6;4;4;4;2
0312605WES;6;12;6;17;11;22;26;17;17;15;7;8
0312704TAR;4;6;8;10;14;13;19;15;13;14;5;7
0312807SRO;9;12;14;14;16;21;28;25;16;14;9;9
0312903MOK;4;7;3;10;9;10;15;12;6;8;7;6
0313004TAR;6;6;8;12;11;12;19;16;8;14;7;5
0313101URU;2;1;1;3;3;4;5;3;2;2;1;2
0313203BIA;7;4;3;8;9;9;14;13;10;7;3;6
0313303WOL;5;4;7;10;10;10;12;9;8;6;5;6
0313406TAR;12;7;13;13;12;20;25;18;13;16;8;12
0313503WAW;6;7;6;8;9;10;14;11;8;6;4;3
0313602WAW;2;3;4;5;6;6;8;8;4;4;3;4
0313704URY;4;10;10;12;11;17;22;13;9;10;5;7
0313803OCH;7;4;7;10;6;13;15;9;9;6;6;4
0313902BEM;2;3;4;4;5;6;10;8;6;5;2;3
0314001TAR;1;2;2;3;3;3;5;4;2;3;2;2
0314102WES;4;3;4;6;6;8;8;7;4;5;3;4
0314201REM;2;1;2;2;3;4;4;3;3;2;2;1
0314303URY;6;4;7;6;10;13;13;12;7;6;6;4
0314401WAW;1;2;2;2;3;4;5;3;3;3;2;1
0314504WOL;8;7;5;12;8;14;18;17;14;10;10;5
0314604URY;5;5;4;10;10;13;18;16;11;12;7;9
0314703BIA;5;4;7;6;9;10;12;11;10;7;3;7
0314803REM;5;4;4;8;10;12;12;10;6;7;5;3
0314905BIA;8;6;12;16;16;16;25;19;10;17;5;10
0315001WLO;1;1;1;3;2;3;4;3;2;2;1;1
0315103OCH;7;5;4;9;10;9;14;11;7;9;3;6
0315202URY;3;4;2;5;6;7;9;6;4;6;3;2
0315304WLO;6;5;4;13;12;13;21;16;12;10;4;5
0315407WAW;13;13;13;18;16;25;30;29;16;15;8;9
0315501WES;2;1;1;2;3;3;5;3;2;3;1;2
0315602WAW;2;3;2;5;4;8;10;6;4;5;4;4
0315703WES;7;5;5;6;7;9;14;13;10;7;6;4
0315802BIA;3;4;4;5;4;8;9;8;5;5;4;2
0315903PRA;7;6;4;8;8;9;16;13;8;8;6;3
0316006BIA;10;6;8;17;14;24;26;20;18;18;10;12
0316104TAR;6;8;6;14;8;17;18;13;12;10;7;9
0316201WOL;2;1;2;2;3;3;4;3;2;3;2;1
0316304MOK;7;5;8;10;9;15;17;13;13;8;9;9
0316404BIA;4;8;10;10;9;18;18;14;11;10;10;10
0316503MOK;4;4;7;8;9;10;16;12;10;8;6;6
0316606ZOL;6;13;7;17;17;26;24;21;14;13;8;14
0316703ZOL;7;5;3;7;10;11;13;9;6;10;4;4
0316801WLO;2;2;1;3;2;3;5;4;2;2;1;1
0316905WOL;8;9;8;14;13;19;27;16;11;16;8;7
0317005URU;12;7;6;15;12;16;24;16;10;13;10;9
0317104OCH;5;6;4;9;14;13;17;13;8;14;7;8
0317204TAR;8;9;4;11;12;13;16;17;8;14;4;8
0317304SRO;7;10;8;10;8;18;21;13;13;9;7;9
0317404WLO;10;7;5;11;10;13;16;17;11;14;5;8
0317501WAW;1;1;1;2;2;3;5;3;2;2;1;2
0317603WLO;3;3;6;7;9;12;13;9;9;8;3;6
0317703BIA;4;3;5;9;8;13;12;9;10;10;4;6
0317806MOK;8;9;7;13;17;22;29;20;13;17;7;11
0317903WES;7;6;4;6;6;11;16;9;9;9;6;3
0318006ZOL;6;13;6;15;15;19;32;21;17;17;7;10
0318101WLO;2;1;2;3;2;3;5;4;2;3;1;2
0318205ZOL;5;8;7;10;14;18;25;21;17;12;5;10
0318307TAR;10;11;15;17;18;29;31;27;19;18;11;13
0318403WLO;4;4;7;10;6;9;16;13;6;9;5;7
0318505TAR;8;10;7;13;16;21;25;19;15;13;7;9
0318607WAW;9;11;11;18;19;22;30;23;20;21;12;15
0318702WOL;2;4;2;6;4;6;8;8;5;6;3;3
0318804WOL;5;7;8;13;11;17;18;18;14;14;9;6
0318905URY;9;5;10;15;16;18;21;20;14;17;9;8
0319003WAW;3;5;4;8;7;9;12;12;10;10;4;7
0319106BIE;11;11;12;14;12;20;27;24;14;13;13;11
0319204OCH;9;7;5;9;14;15;16;12;12;8;7;8
0319304URY;10;9;6;12;11;17;22;17;10;9;4;6
0319404OCH;7;4;5;10;14;15;21;14;8;8;5;10
0319504WLO;9;10;4;12;8;12;22;15;14;11;7;5
0319603URU;5;5;4;9;6;9;13;12;6;7;6;5
0319703PRA;6;4;4;8;9;11;12;13;6;7;6;6
0319804MOK;4;7;6;9;8;17;19;16;14;13;6;8
0319903BEM;6;6;3;6;9;9;13;9;10;7;7;7
0320004MOK;4;9;7;14;10;12;18;18;9;8;6;5
0320104BIA;5;4;7;13;13;15;22;12;12;14;9;10
0320201WLO;2;2;1;3;3;3;4;3;2;2;2;1
0320302WES;3;4;3;4;4;7;10;7;6;6;3;4
0320403URY;6;3;5;8;6;10;13;9;8;6;4;7
0320504OCH;4;9;9;13;11;15;18;15;14;14;5;7
0320603WIL;6;7;4;6;10;11;13;10;7;6;5;3
0320701BEM;1;1;2;2;2;4;4;4;2;2;2;1
0320803MOK;6;4;7;10;10;9;15;11;6;7;4;7
0320903ZOL;4;5;5;9;10;12;15;9;10;8;6;7
0321004WIL;5;7;6;14;10;18;16;16;9;11;7;9
0321102URY;3;2;4;6;6;6;9;7;5;6;4;3
0321203OCH;4;6;7;10;8;13;14;9;6;9;5;6
0321303WOL;6;5;7;9;9;11;16;11;6;7;4;7
0321405WLO;8;11;6;17;17;22;20;22;11;15;11;9
0321503WLO;7;7;4;7;6;11;15;12;9;9;6;4
0321604PRA;5;4;4;13;14;15;20;16;8;12;8;10
0321703URU;7;7;7;7;9;13;13;13;10;10;4;3
0321803REM;6;7;5;6;8;9;13;9;6;7;7;5
0321904URY;7;9;8;13;8;14;22;18;11;14;9;10
0322005PRA;5;10;12;16;15;20;23;20;15;17;8;6
0322102URU;2;2;2;5;4;7;10;6;4;5;3;3
0322203PRA;5;7;5;9;7;9;12;12;6;8;4;6
0322303WAW;6;4;3;8;8;10;15;13;8;9;5;3
0322404URU;10;10;6;11;10;14;20;18;14;9;6;7
0322502SRO;2;3;2;6;6;7;8;8;5;5;4;2
0322603WLO;4;5;3;7;10;13;12;9;6;8;7;3
0322702SRO;2;2;3;5;4;6;9;8;5;4;4;4
0322805REM;5;6;10;11;10;22;23;22;17;11;9;10
0322902WIL;2;3;3;6;5;8;8;6;4;4;3;3
0323003PRA;4;4;4;10;9;9;13;13;10;9;3;3
0323106WES;11;14;9;12;12;23;25;18;12;16;13;14
0323202WIL;3;2;3;6;5;6;9;8;6;6;3;3
0323303SRO;5;7;3;9;9;11;14;9;10;9;4;7
0323403PRA;5;3;5;10;6;11;12;9;10;9;7;3
0323503BEM;6;5;6;8;8;11;16;13;7;6;6;3
0323601MOK;2;1;1;2;2;3;5;4;3;3;2;1
0323704WAW;4;8;9;10;8;18;21;17;13;8;8;8
0323802WES;4;2;3;6;6;8;10;7;4;6;3;3
0323903BIA;4;5;4;10;8;11;13;10;9;6;3;6
0324003PRA;6;4;5;9;8;10;13;12;8;6;7;5
0324104ZOL;8;4;9;14;8;12;20;18;14;8;4;5
0324205TAR;12;6;6;12;17;22;23;19;17;16;12;8
0324304WES;5;10;8;8;11;14;16;16;13;9;4;9
0324401OCH;2;1;2;3;2;4;4;3;3;2;1;2
0324502BIA;2;2;2;6;5;7;9;6;5;4;4;3
