nr_zamowienia	data	magazyn	wielkosc_zamowienia
738	23.12.2021	Przemysl	4040
739	24.12.2021	Ogrodzieniec	4270
740	25.12.2021	Ogrodzieniec	1590
741	26.12.2021	Przemysl	7700
742	26.12.2021	Malbork	7320
743	27.12.2021	Malbork	3930
744	27.12.2021	Gniezno	5870
745	27.12.2021	Przemysl	8040
746	27.12.2021	Ogrodzieniec	8030
747	28.12.2021	Przemysl	4140
748	28.12.2021	Ogrodzieniec	1410
749	28.12.2021	Gniezno	4500
750	29.12.2021	Przemysl	4050
751	29.12.2021	Ogrodzieniec	7390
752	30.12.2021	Gniezno	4600
753	30.12.2021	Przemysl	7040
754	30.12.2021	Malbork	2410
755	31.12.2021	Gniezno	6290
